bathrooms,bedrooms,num_beds,can_instant_book,is_fully_refundable,is_superhost,is_new_listing,room_type_category,person_capacity,lat,lng,url,listing_key
1.0,1.0,1,True,True,False,False,entire_home,2,21.17703,-86.83621,https://www.airbnb.com/rooms/25856722,25856722
1.0,1.0,1,False,True,True,False,private_room,2,21.15332,-86.82539,https://www.airbnb.com/rooms/9486028,9486028
1.0,1.0,1,False,True,True,False,entire_home,2,21.11393,-86.8768,https://www.airbnb.com/rooms/15376318,15376318
1.0,1.0,1,True,True,False,False,entire_home,2,21.155342,-86.822868,https://www.airbnb.com/rooms/13670074,13670074
1.0,1.0,1,True,True,True,True,entire_home,2,21.11175,-86.85458,https://www.airbnb.com/rooms/35382793,35382793
1.0,1.0,1,True,True,False,False,private_room,3,21.1633,-86.83200000000002,https://www.airbnb.com/rooms/28407689,28407689
1.0,1.0,1,True,True,False,False,private_room,2,21.14129,-86.8404,https://www.airbnb.com/rooms/20605757,20605757
1.0,1.0,1,False,True,True,False,entire_home,4,21.17649,-86.87942,https://www.airbnb.com/rooms/27612053,27612053
1.0,1.0,1,True,True,False,False,private_room,2,21.14958,-86.82579,https://www.airbnb.com/rooms/27197707,27197707
1.0,2.0,2,True,True,False,True,entire_home,4,21.13578,-86.84405,https://www.airbnb.com/rooms/35518285,35518285
1.0,1.0,2,True,True,False,False,private_room,3,21.164444,-86.822456,https://www.airbnb.com/rooms/28617563,28617563
1.0,1.0,1,True,True,True,False,private_room,2,21.15694,-86.8373,https://www.airbnb.com/rooms/32017225,32017225
1.0,1.0,1,True,True,False,False,entire_home,2,21.13546,-86.8351,https://www.airbnb.com/rooms/27990738,27990738
1.0,1.0,1,True,True,False,False,private_room,2,21.150671,-86.826988,https://www.airbnb.com/rooms/20285150,20285150
1.0,1.0,2,True,True,True,False,entire_home,3,21.15447,-86.85734000000002,https://www.airbnb.com/rooms/28028476,28028476
8.0,8.0,1,True,True,False,False,private_room,16,21.12572,-86.92324,https://www.airbnb.com/rooms/25052793,25052793
1.0,1.0,1,True,True,False,False,private_room,2,21.174133,-86.83669300000003,https://www.airbnb.com/rooms/17184878,17184878
1.0,1.0,2,False,True,True,False,private_room,2,21.15836,-86.82976,https://www.airbnb.com/rooms/5958858,5958858
1.0,1.0,1,False,True,True,False,private_room,2,21.16215,-86.86095999999998,https://www.airbnb.com/rooms/15819074,15819074
1.0,1.0,2,True,True,True,False,private_room,3,21.15753,-86.83041,https://www.airbnb.com/rooms/30552364,30552364
1.0,1.0,1,True,True,False,False,private_room,2,21.14891,-86.82844,https://www.airbnb.com/rooms/33974546,33974546
1.0,1.0,1,True,True,True,False,private_room,2,21.16741,-86.8286,https://www.airbnb.com/rooms/22902859,22902859
1.5,1.0,2,True,True,False,False,private_room,4,21.141693,-86.827934,https://www.airbnb.com/rooms/13927495,13927495
1.0,2.0,3,True,True,False,True,entire_home,5,21.14568,-86.89059,https://www.airbnb.com/rooms/35972942,35972942
1.0,1.0,2,True,True,False,False,entire_home,4,21.18384,-86.81548000000002,https://www.airbnb.com/rooms/29493671,29493671
1.5,1.0,1,True,True,False,False,private_room,2,21.12515,-86.8343,https://www.airbnb.com/rooms/18008057,18008057
1.0,2.0,2,True,True,False,False,entire_home,5,21.146654,-86.86488299999998,https://www.airbnb.com/rooms/32237349,32237349
1.0,1.0,2,True,True,True,False,shared_room,2,21.109201,-86.88054699999998,https://www.airbnb.com/rooms/28940815,28940815
1.0,1.0,1,True,True,False,False,entire_home,2,21.16267,-86.82785,https://www.airbnb.com/rooms/35565048,35565048
2.0,2.0,3,True,True,False,False,entire_home,6,21.184856,-86.81504100000002,https://www.airbnb.com/rooms/24760674,24760674
1.0,1.0,1,True,True,False,False,private_room,2,21.14747,-86.84725999999998,https://www.airbnb.com/rooms/23328219,23328219
1.5,1.0,2,True,True,False,False,private_room,3,21.19235,-86.80682,https://www.airbnb.com/rooms/33364482,33364482
