guest_satisfication,host_reviews,monthly_price_factor,picture_count,price,response_rate,reviews_count,weekly_price_factor,listing_key
0,7,0.51,4,26,100,0,0.79,35976040
100,6,1.0,6,22,0,6,1.0,25185112
100,6,0.7000000000000001,11,28,0,2,0.9,26851189
0,20,0.75,6,26,100,0,0.9,35516601
94,53,0.7000000000000001,21,24,50,29,0.95,17974243
98,206,0.75,29,26,100,12,0.95,30701886
99,18,1.0,6,24,100,14,1.0,24825808
100,258,0.9,7,26,100,3,0.93,34629864
94,79,1.0,13,21,100,27,1.0,16381397
98,43,0.9,12,26,100,9,1.0,29592005
0,1,0.85,26,30,0,0,0.9,27523332
98,74,0.95,24,30,100,65,0.97,4387161
100,3,1.0,13,28,0,3,1.0,18390571
96,1337,1.0,37,26,100,45,1.0,11581060
0,0,1.0,13,24,38,0,1.0,35680565
93,27,0.84,20,28,100,27,0.92,29134451
97,29,1.0,5,21,100,28,0.85,16692987
0,0,1.0,3,24,0,0,1.0,27696725
100,15,1.0,9,25,100,4,1.0,34280256
100,3,0.85,31,25,100,3,0.93,33915154
93,93,1.0,33,24,95,8,0.85,26643066
96,377,0.85,62,28,100,5,0.95,24555771
98,144,1.0,13,26,100,30,1.0,21393912
98,115,0.95,20,29,100,115,1.0,24603814
95,54,0.85,8,30,100,26,0.9,29433945
89,124,0.9,13,26,100,114,0.95,196043
92,124,1.0,17,21,94,13,1.0,32411364
100,65,0.95,12,28,100,6,0.98,32672102
96,25,1.0,20,24,100,25,1.0,24938206
98,12,0.9,18,32,50,12,0.95,22566836
93,40,0.85,24,28,100,36,0.9,28388649
93,65,0.71,17,28,100,59,0.9,22145527
100,20,0.75,6,26,100,3,0.9,35515425
97,87,0.85,17,25,100,21,0.9,25846367
0,1,1.0,3,24,0,0,0.85,35902567
100,65,0.8,14,21,100,1,0.8,31218383
99,61,1.0,20,24,100,40,1.0,19297263
98,53,0.9,19,29,100,27,0.9,21575249
91,95,1.0,23,21,100,33,0.88,20450978
95,145,1.0,22,26,100,79,1.0,21935156
95,537,1.0,23,24,100,51,0.95,12846687
86,44,0.9,2,21,100,18,0.95,20815105
95,115,0.92,12,24,93,12,0.97,29339067
80,151,1.0,11,21,100,1,1.0,22846621
99,90,0.6000000000000001,29,22,100,51,0.9,17974993
80,3,1.0,8,22,0,1,1.0,21814438
98,58,0.7000000000000001,33,24,100,56,1.0,19752712
99,258,1.0,13,29,100,14,1.0,29740552
91,9,1.0,6,24,100,7,1.0,29260231
95,207,1.0,32,24,80,69,1.0,311920
96,280,0.9,11,26,100,40,0.95,20494133
99,25,0.75,22,22,100,17,0.85,29818639
80,3,0.7000000000000001,10,21,93,3,1.0,28280738
97,50,1.0,23,26,100,49,1.0,21217493
96,23,0.8,29,28,92,14,0.9,26200950
98,80,1.0,34,24,100,31,1.0,25920420
100,2289,1.0,9,30,98,3,1.0,35480669
97,162,0.9,23,30,88,59,1.0,13934377
98,89,1.0,14,32,100,87,1.0,19945496
97,142,0.72,4,22,100,35,0.87,27288818
96,1333,1.0,25,25,100,37,1.0,30552678
95,41,1.0,6,21,100,11,1.0,26427316
100,23,0.8,10,28,100,23,0.9,23166940
99,225,0.72,35,29,100,63,0.9,22409851
98,16,0.88,19,25,100,16,0.95,32477971
98,88,1.0,30,21,100,46,1.0,17154808
94,115,0.75,18,25,93,38,0.9,21949149
99,151,0.85,37,26,100,52,0.9,23724367
94,254,0.86,13,21,100,52,0.9,15343759
93,39,0.85,6,25,90,39,0.9,24428604
99,48,1.0,8,24,100,48,1.0,23750582
100,11,0.77,15,24,100,10,0.9,13937617
95,537,1.0,26,24,0,96,1.0,6938380
100,137,0.9,41,24,100,5,0.95,32499240
95,76,0.8,22,21,100,32,0.9,23959256
90,853,1.0,32,32,100,8,1.0,34395491
94,133,0.85,24,25,100,45,0.95,24306846
99,21,0.78,13,28,100,15,0.9,14684770
92,397,0.85,12,29,100,24,0.9,31045741
96,61,1.0,9,25,100,61,1.0,30226464
97,107,0.85,13,21,90,85,0.9,24337817
96,80,1.0,26,26,100,48,1.0,26082960
93,12,0.6000000000000001,12,21,0,10,0.89,21411848
92,11,0.64,25,22,100,10,0.81,30315932
91,48,0.63,9,24,100,48,0.86,10650264
91,379,0.8,26,21,100,39,1.0,24761114
97,760,0.85,15,24,100,120,0.9,13800564
87,34,0.9,13,25,90,32,0.98,18684880
95,123,0.9,35,25,100,90,0.95,16881092
100,13,0.85,30,21,100,13,0.9,33617703
99,377,0.85,63,28,100,16,0.95,24555947
99,1333,0.8,12,29,100,41,0.9,30887774
96,49,0.9,17,29,100,47,0.95,30008840
96,48,0.85,20,22,100,48,0.9,24036805
97,326,1.0,14,22,100,71,1.0,27027137
94,406,0.86,19,26,100,155,0.92,5134642
95,139,0.75,42,24,100,21,0.9,32299493
98,225,0.72,34,29,100,89,0.9,22421210
97,268,0.85,12,22,100,41,0.95,29509364
98,96,0.92,21,24,100,58,0.94,21457212
98,441,0.8,24,25,100,203,0.89,8831778
96,78,0.9,19,22,96,27,0.95,32243622
98,78,0.85,20,25,96,24,0.95,32086399
94,377,0.85,62,30,100,75,0.95,24555492
95,364,0.85,19,24,86,107,0.9,9326209
94,88,0.85,49,26,100,88,0.9,21859853
97,68,0.8,22,28,100,58,0.9,23275409
95,2267,0.8,43,22,100,537,0.85,82460
99,441,0.85,19,26,100,227,0.88,16660816
94,326,0.8,21,24,100,121,0.9,23295246
94,2267,0.75,61,29,100,481,0.88,85056
98,291,0.9,20,37,100,289,0.95,1897970
99,604,1.0,27,40,100,124,1.0,21539696
92,779,1.0,25,41,89,353,0.9,6467158
98,121,1.0,57,33,100,65,1.0,26750894
97,87,1.0,16,36,100,29,0.89,33114955
87,779,0.7000000000000001,39,33,89,30,0.85,5371125
98,1333,0.85,17,38,100,108,0.9,17957314
92,484,0.8,36,33,100,149,0.87,11607245
96,380,0.9,20,41,100,127,0.95,20071413
94,132,0.9,18,37,100,132,1.0,14898654
95,148,1.0,20,40,100,144,0.88,17109969
95,2203,1.0,33,34,100,262,1.0,13579256
97,311,1.0,18,33,100,89,1.0,15347035
99,1333,0.85,17,33,100,102,0.9,17956572
98,41,1.0,20,38,100,32,0.9,26236425
96,85,1.0,9,34,100,64,1.0,32113128
97,302,0.9,12,34,93,95,1.0,22232378
99,121,1.0,58,33,100,56,1.0,27031754
90,100,0.68,8,34,95,83,0.9,24078882
94,484,0.8,49,33,100,181,0.87,11621077
91,2203,1.0,19,33,100,156,1.0,20522853
100,24,0.8,47,33,100,24,0.95,23258605
97,162,0.8,10,34,100,162,0.9,19081835
97,1735,1.0,21,38,100,206,0.9,17205473
98,86,0.8,23,36,100,53,0.9,30580307
98,853,1.0,38,38,100,112,1.0,19822379
98,209,0.8,49,40,100,209,0.9,10962031
77,108,1.0,25,40,100,29,1.0,15679019
95,309,1.0,33,41,100,85,1.0,27665848
